#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1631512924.6863146,0.021544,0.055434,0.027503,9.330000,1.048000,-1.782000
1631512924.8344924,-0.008600,0.000000,0.052227,9.339000,0.979000,-1.781000
1631512924.9977124,0.037194,-0.099399,0.077787,9.279000,0.847000,-1.861000
1631512925.0968401,0.024551,-0.139877,0.078761,9.286000,0.792000,-1.977000
1631512925.1919930,-0.024722,-0.159833,0.032380,9.345000,0.733000,-2.185000
1631512925.3039751,-0.052706,-0.042601,0.010923,9.434000,0.713000,-2.272000
1631512925.4095085,-0.014053,0.054668,0.005118,9.364000,0.675000,-2.166000
1631512925.5075030,0.018082,0.081531,-0.011007,9.338000,0.691000,-2.129000
1631512925.5874841,0.031634,0.080184,-0.020723,9.289000,0.736000,-2.030000
1631512925.7075098,0.038480,0.074726,-0.022141,9.337000,0.783000,-1.994000
1631512925.7916598,0.027805,0.091104,-0.014013,9.361000,0.760000,-1.916000
1631512925.9061058,0.064923,0.117472,0.003565,9.326000,0.765000,-1.677000
1631512926.0039442,0.019128,0.063848,-0.010435,9.310000,0.814000,-1.727000
1631512926.1257138,-0.039160,-0.003012,0.000108,9.333000,0.817000,-1.763000
1631512926.2056098,-0.036934,-0.023982,0.003981,9.408000,0.749000,-1.692000
1631512926.2974360,0.011525,-0.010244,0.005167,9.426000,0.759000,-1.694000
1631512926.3968830,0.032665,0.036790,0.021377,9.403000,0.783000,-1.716000
1631512926.5238259,0.007536,0.040952,0.004230,9.316000,0.825000,-1.703000
1631512926.5959401,0.003956,0.023618,-0.015188,9.377000,0.778000,-1.683000
1631512926.6878271,0.013218,0.050910,-0.020350,9.437000,0.744000,-1.616000
1631512926.7851620,-0.008159,0.051703,-0.031559,9.403000,0.802000,-1.463000
1631512926.9015365,0.011538,0.046743,-0.048554,9.491000,0.767000,-1.343000
1631512927.0071123,0.055284,0.071928,-0.056118,9.424000,0.824000,-1.282000
1631512927.1014199,0.092005,0.073815,-0.055587,9.437000,0.906000,-1.209000
1631512927.2058642,0.080333,0.054585,-0.036105,9.425000,0.946000,-1.198000
1631512927.3171000,0.033928,0.030412,-0.008921,9.400000,0.957000,-1.289000
1631512927.3913331,-0.008343,0.002368,0.009071,9.408000,0.982000,-1.287000
1631512927.4971831,-0.025409,-0.012407,0.022894,9.429000,0.979000,-1.250000
1631512927.5918775,-0.025987,-0.018054,0.028294,9.404000,0.955000,-1.307000
1631512927.6972253,0.002372,-0.006083,0.017662,9.440000,0.843000,-1.333000
1631512927.7945273,0.027221,0.024756,0.021544,9.401000,0.888000,-1.345000
1631512927.9195082,-0.000082,0.008340,0.022698,9.427000,0.827000,-1.306000
1631512927.9907081,0.004531,0.009675,0.014387,9.448000,0.788000,-1.261000
1631512928.0886862,0.043089,0.026283,0.000746,9.454000,0.794000,-1.247000
1631512928.2051842,0.046279,0.006552,-0.001410,9.410000,0.834000,-1.270000
1631512928.3063905,0.051884,-0.035085,0.005082,9.421000,0.798000,-1.227000
1631512928.4039207,0.062417,-0.063950,0.015842,9.427000,0.833000,-1.304000
1631512928.4873593,0.057152,-0.086349,0.018765,9.372000,0.831000,-1.360000
1631512928.6016836,0.064180,-0.100764,0.016709,9.440000,0.810000,-1.387000
1631512928.6958842,0.064234,-0.094210,0.021600,9.427000,0.830000,-1.560000
1631512928.8062289,0.036448,-0.075953,0.028001,9.429000,0.736000,-1.647000
1631512928.9167979,0.039867,-0.063252,0.026414,9.397000,0.639000,-1.761000
1631512928.9960856,0.033181,-0.083226,0.040184,9.379000,0.624000,-1.817000
1631512929.0930462,0.056992,-0.133261,0.062761,9.377000,0.506000,-1.864000
1631512929.1896110,0.062735,-0.165029,0.032964,9.372000,0.475000,-2.079000
1631512929.3051083,0.005451,-0.129460,-0.022292,9.370000,0.543000,-2.228000
1631512929.4068084,-0.006416,-0.054691,-0.063652,9.396000,0.527000,-2.283000
1631512929.5037689,0.029261,0.037842,-0.093280,9.373000,0.607000,-2.342000
1631512929.6061449,0.038373,0.100134,-0.093163,9.346000,0.705000,-2.312000
1631512929.7344303,0.018658,0.110979,-0.034262,9.295000,0.793000,-2.087000
1631512929.8016124,0.016775,0.080795,0.032865,9.285000,0.751000,-2.068000
1631512929.9024034,0.063062,0.098528,0.076174,9.421000,0.666000,-1.962000
1631512929.9964716,0.089275,0.146212,0.076637,9.410000,0.652000,-1.860000
1631512930.1014981,0.067010,0.121731,0.026354,9.342000,0.532000,-1.686000
1631512930.2161272,0.083925,0.101496,-0.005500,9.375000,0.489000,-1.522000
1631512930.2959950,0.103875,0.060559,-0.033382,9.368000,0.526000,-1.530000
1631512930.3929574,0.070127,0.012923,-0.053560,9.365000,0.656000,-1.537000
1631512930.5077014,-0.009601,-0.028565,-0.071678,9.366000,0.691000,-1.609000
1631512930.6053090,-0.017672,-0.034758,-0.080104,9.423000,0.659000,-1.555000
1631512930.7104020,0.038181,0.013934,-0.062510,9.447000,0.720000,-1.546000
1631512930.7864764,0.047581,0.025012,-0.047103,9.368000,0.818000,-1.619000
1631512930.9061437,0.027687,-0.044735,-0.041195,9.324000,0.857000,-1.620000
1631512931.0041349,0.038515,-0.054508,-0.019820,9.381000,0.847000,-1.613000
1631512931.1172369,0.037548,-0.052206,0.003780,9.405000,0.871000,-1.707000
1631512931.2036664,0.023509,-0.052748,0.015099,9.369000,0.855000,-1.732000
1631512931.3167796,0.061207,-0.050012,0.012366,9.375000,0.780000,-1.754000
1631512931.4024508,0.081821,-0.032973,0.008638,9.398000,0.808000,-1.864000
1631512931.4893665,0.083370,-0.019976,-0.001688,9.355000,0.830000,-1.878000
1631512931.6043065,0.076842,-0.035615,-0.028294,9.346000,0.809000,-1.907000
1631512931.7194643,0.054693,-0.049262,-0.051066,9.359000,0.875000,-1.999000
1631512931.8072655,0.064950,-0.030952,-0.060943,9.395000,0.844000,-1.975000
1631512931.9007554,0.092595,0.042444,-0.051628,9.435000,0.903000,-1.891000
1631512932.0107486,0.094876,0.104452,-0.033440,9.431000,0.911000,-1.821000
1631512932.1259673,0.086649,0.095703,-0.038740,9.321000,0.983000,-1.785000
1631512932.1874576,0.055908,0.055811,-0.048846,9.314000,0.990000,-1.770000
1631512932.3076134,0.042087,0.014376,-0.052344,9.349000,0.983000,-1.663000
1631512932.3967135,0.097475,0.002087,-0.051067,9.364000,1.014000,-1.601000
1631512932.5099378,0.097459,-0.005925,-0.025789,9.350000,1.114000,-1.736000
1631512932.6162908,0.073275,-0.025789,-0.010616,9.340000,1.069000,-1.700000
1631512932.6966741,0.073984,-0.021852,0.000646,9.352000,1.051000,-1.653000
1631512932.7958572,0.093630,-0.057383,-0.017392,9.261000,1.060000,-1.773000
1631512932.9138501,0.129765,-0.115530,-0.045094,9.303000,1.055000,-1.889000
1631512932.9877412,0.117150,-0.118288,-0.035481,9.294000,1.154000,-2.068000
1631512933.1068444,0.036883,-0.065494,0.016667,9.328000,1.102000,-2.168000
1631512933.2007654,0.014911,-0.024405,0.046112,9.240000,1.053000,-2.245000
1631512933.3225620,0.025712,-0.003876,0.044181,9.290000,0.945000,-2.165000
1631512933.4018729,0.090724,0.063269,0.046773,9.339000,0.862000,-2.087000
1631512933.4944475,0.147699,0.103331,0.042701,9.279000,0.832000,-2.142000
1631512933.6021383,0.110700,0.055431,0.021493,9.232000,0.860000,-2.166000
1631512933.7178264,0.074777,0.031108,0.015117,9.289000,0.752000,-2.055000
1631512933.8015039,0.082765,0.039244,-0.002838,9.292000,0.782000,-1.997000
1631512933.8908386,0.107929,0.033225,-0.026698,9.277000,0.769000,-2.003000
1631512933.9958034,0.147186,0.024948,-0.035893,9.299000,0.824000,-1.995000
1631512934.1190233,0.126502,0.029131,-0.009755,9.282000,0.878000,-1.995000
1631512934.2082376,0.086294,0.019436,0.015382,9.300000,0.803000,-1.969000
1631512934.2913563,0.075275,0.032691,0.022761,9.341000,0.738000,-1.952000
1631512934.4070923,0.065517,0.063852,0.023674,9.332000,0.653000,-1.895000
1631512934.5061905,0.028027,0.041058,0.025869,9.310000,0.670000,-1.813000
1631512934.6059885,-0.006846,-0.007473,0.019400,9.320000,0.598000,-1.815000
1631512934.6948626,0.009444,-0.032990,0.007339,9.370000,0.534000,-1.768000
1631512934.8174582,0.058723,-0.076650,-0.011551,9.349000,0.600000,-1.819000
1631512934.9370480,0.020750,-0.136378,-0.004094,9.347000,0.658000,-1.933000
1631512935.0166976,-0.040355,-0.143545,0.000111,9.357000,0.627000,-2.032000
1631512935.0972660,-0.036407,-0.109428,0.000379,9.363000,0.562000,-2.148000
1631512935.1950622,-0.012943,-0.051554,-0.005551,9.344000,0.612000,-2.378000
1631512935.3043673,-0.001809,-0.012829,-0.008467,9.264000,0.594000,-2.466000
1631512935.4055572,-0.001093,0.003443,-0.022796,9.330000,0.583000,-2.467000
1631512935.5070674,0.005363,0.048053,-0.045716,9.340000,0.591000,-2.456000
1631512935.5909057,0.044570,0.081275,-0.055740,9.330000,0.667000,-2.233000
1631512935.7106419,0.073593,0.087332,-0.058494,9.325000,0.733000,-2.113000
1631512935.8015335,0.067401,0.090164,-0.062506,9.360000,0.842000,-1.995000
1631512935.9056597,0.067341,0.077651,-0.070883,9.337000,0.838000,-1.923000
1631512935.9777453,0.064288,0.064070,-0.072450,9.303000,0.957000,-1.926000
1631512936.1171823,0.011828,0.039798,-0.047275,9.304000,1.050000,-1.881000
1631512936.2063813,-0.011004,0.048215,-0.019151,9.292000,1.013000,-1.844000
1631512936.3016300,-0.007863,0.063808,0.002045,9.290000,1.036000,-1.870000
1631512936.4075198,-0.033766,0.051352,-0.003648,9.341000,0.981000,-1.921000
1631512936.5235398,0.009717,0.043917,-0.009315,9.350000,0.958000,-1.766000
1631512936.6073263,0.023750,0.023101,-0.000376,9.353000,0.967000,-1.603000
1631512936.7014687,0.050947,-0.033439,0.023447,9.369000,1.002000,-1.550000
1631512936.8067803,0.066091,-0.050804,0.018356,9.352000,0.921000,-1.519000
1631512936.9022520,0.024579,-0.054530,0.010982,9.348000,1.031000,-1.759000
1631512937.0063939,-0.004205,-0.054288,-0.021204,9.361000,0.979000,-1.716000
1631512937.0862134,-0.003089,-0.034588,-0.037484,9.377000,0.944000,-1.813000
1631512937.2175410,0.040510,-0.021198,-0.025964,9.324000,0.898000,-1.843000
1631512937.2979002,0.075127,-0.044302,-0.013670,9.328000,0.937000,-1.958000
1631512937.4167340,0.057990,-0.058420,0.011424,9.317000,1.063000,-1.975000
1631512937.4964271,0.023614,-0.044108,0.007578,9.319000,1.017000,-1.964000
1631512937.5918627,0.041820,0.036553,-0.008811,9.382000,0.924000,-1.932000
1631512937.7140911,0.082183,0.090066,-0.022487,9.332000,0.950000,-1.917000
1631512937.7844305,0.079335,0.095027,-0.029343,9.354000,0.935000,-1.911000
1631512937.9078183,0.080958,0.083901,-0.033979,9.337000,0.962000,-1.796000
1631512937.9870117,0.062430,0.038276,-0.053786,9.318000,0.991000,-1.699000
1631512938.1138258,0.023968,-0.034000,-0.047628,9.305000,1.087000,-1.681000
1631512938.1863484,0.031449,-0.074582,-0.038227,9.321000,1.104000,-1.654000
1631512938.3058064,0.072555,-0.075497,-0.032175,9.349000,1.141000,-1.841000
1631512938.3951323,0.097276,-0.028972,-0.022358,9.340000,1.151000,-1.966000
1631512938.4934068,0.062680,0.002268,-0.008037,9.286000,1.145000,-2.067000
1631512938.5978956,0.020892,0.012343,0.000937,9.270000,1.172000,-2.097000
1631512938.6867917,0.008807,0.022653,-0.001881,9.295000,1.106000,-2.037000
1631512938.7962232,0.050430,0.054349,0.009564,9.290000,1.096000,-2.005000
1631512938.9202557,0.015238,0.082101,0.033847,9.325000,1.080000,-1.797000
1631512939.0031419,-0.012066,0.103137,0.037475,9.305000,1.028000,-1.862000
1631512939.0876787,0.003046,0.112837,0.028907,9.326000,0.936000,-1.777000
1631512939.2069983,0.058478,0.078988,-0.015156,9.336000,0.924000,-1.658000
1631512939.3270187,0.041474,0.048253,-0.010880,9.360000,1.025000,-1.515000
1631512939.3862164,0.049783,0.039024,-0.012552,9.345000,0.990000,-1.579000
1631512939.4906628,0.057204,0.033677,-0.013450,9.417000,0.952000,-1.593000
1631512939.6055903,0.057627,0.064687,-0.006257,9.359000,0.991000,-1.531000
1631512939.7123253,0.038582,0.046955,-0.015071,9.403000,1.035000,-1.446000
1631512939.7920189,0.045654,0.014982,-0.011039,9.401000,1.043000,-1.398000
1631512939.8968520,0.064776,0.020284,0.005712,9.406000,1.039000,-1.277000
1631512939.9959064,0.059017,0.037775,0.006742,9.401000,1.029000,-1.313000
1631512940.0966315,0.046278,0.007228,-0.012664,9.377000,1.067000,-1.264000
1631512940.2156165,0.035386,-0.072528,-0.013185,9.381000,1.075000,-1.320000
1631512940.2905114,0.018041,-0.115506,-0.018594,9.355000,1.143000,-1.359000
1631512940.3932629,0.010864,-0.093844,-0.010822,9.408000,1.087000,-1.559000
1631512940.5283315,0.000670,-0.030378,-0.003686,9.369000,1.090000,-1.654000
1631512940.6035459,-0.016149,-0.052363,-0.010734,9.333000,1.091000,-1.766000
1631512940.7060101,-0.053022,-0.083283,0.003733,9.404000,1.089000,-1.873000
1631512940.7858036,-0.032367,-0.048623,0.026583,9.426000,1.024000,-1.797000
1631512940.9226820,0.002704,0.021571,0.004572,9.437000,1.060000,-1.570000
1631512941.0098307,0.004853,0.037350,-0.040262,9.399000,1.068000,-1.532000
1631512941.0923526,0.019931,0.029950,-0.050613,9.356000,1.080000,-1.553000
1631512941.2082558,0.047782,0.036272,-0.001501,9.332000,1.053000,-1.635000
1631512941.3165820,0.098288,0.052276,-0.004067,9.336000,0.992000,-1.594000
1631512941.4048271,0.078890,0.059641,-0.042288,9.325000,1.118000,-1.624000
1631512941.4904726,0.012059,0.034443,-0.088411,9.334000,1.199000,-1.480000
1631512941.6073840,-0.025100,0.006404,-0.108132,9.321000,1.214000,-1.365000
1631512941.7323895,0.024010,-0.016281,-0.111548,9.298000,1.368000,-1.526000
1631512941.8872757,0.056379,0.043319,-0.124123,9.269000,1.579000,-1.561000
1631512942.0057411,0.003812,0.054011,-0.067921,9.204000,1.762000,-1.498000
1631512942.1033273,-0.018525,0.053928,0.000547,9.272000,1.706000,-1.459000
1631512942.2179728,0.015278,0.096369,0.045740,9.286000,1.636000,-1.396000
1631512942.3176460,0.009927,0.075903,0.074780,9.250000,1.665000,-1.284000
1631512942.4005165,0.018241,0.038038,0.066872,9.339000,1.553000,-1.271000
1631512942.4964628,-0.011225,-0.008490,0.054666,9.307000,1.548000,-1.314000
1631512942.6361160,-0.012931,-0.022296,0.064928,9.377000,1.351000,-1.234000
1631512942.8034880,0.022479,-0.044644,0.106426,9.409000,1.279000,-1.263000
1631512942.8865423,0.013909,-0.045538,0.104942,9.415000,1.194000,-1.287000
1631512942.9911287,0.011513,-0.021440,0.064699,9.441000,1.102000,-1.330000
1631512943.1119990,-0.039596,-0.040112,0.023511,9.412000,1.120000,-1.374000
